,x,y,command
593,479.6010480183851,501.27553782321485,1
594,479.46883167559594,500.28473724636075,1
595,479.06855835896454,498.777421538364,1
596,477.5357637199145,494.018163130324,1
597,476.00296908086443,489.258904722284,1
598,474.4701744418144,484.499646314244,1
599,472.9373798027644,479.74038790620403,1
600,471.40458516371433,474.981129498164,0
601,469.8717905246643,470.221871090124,0
602,468.3389958856142,465.462612682084,0
603,466.8062012465642,460.70335427404405,0
604,465.2734066075142,455.944095866004,0
605,463.7406119684641,451.184837457964,0
606,462.20781732941407,446.425579049924,0
607,460.675022690364,441.666320641884,0
608,459.14222805131396,436.907062233844,0
609,457.6094334122639,432.147803825804,0
610,456.0766387732139,427.388545417764,1
611,454.54384413416386,422.62928700972395,1
612,453.0110494951138,417.870028601684,1
613,451.47825485606376,413.110770193644,1
614,449.94546021701376,408.35151178560403,1
615,448.4126655779637,403.59225337756396,1
616,446.87987093891365,398.832994969524,1
617,445.3470762998636,394.073736561484,1
618,443.81428166081355,389.314478153444,1
619,442.2814870217635,384.555219745404,1
620,440.7486923827135,379.795961337364,0
621,439.21589774366345,375.036702929324,0
622,437.6831031046134,370.27744452128394,0
623,436.15030846556334,365.518186113244,0
624,434.6175138265133,360.758927705204,0
625,433.0847191874633,355.99966929716396,0
626,431.55192454841324,351.24041088912395,0
627,430.0191299093632,346.481152481084,0
628,428.48633527031313,341.721894073044,0
629,426.9535406312631,336.962635665004,0
630,425.420745992213,332.20337725696396,1
631,423.88795135316303,327.444118848924,1
632,422.355156714113,322.68486044088394,1
633,420.8223620750629,317.9256020328439,1
634,419.2895674360129,313.166343624804,1
635,417.7567727969628,308.4070852167639,1
636,416.2239781579128,303.64782680872395,1
637,414.6911835188628,298.88856840068394,1
638,413.1583888798127,294.1293099926439,1
639,411.62559424076267,289.3700515846039,1
640,410.0927996017126,284.61079317656396,0
641,408.56000496266256,279.85153476852395,0
642,407.0272103236125,275.09227636048394,0
643,405.4944156845625,270.3330179524439,0
644,403.96162104551246,265.5737595444039,0
645,402.4288264064624,260.8145011363639,0
646,400.89603176741235,256.05524272832395,0
647,399.36323712836236,251.29598432028394,0
648,397.8304424893123,246.53672591224392,0
649,396.29764785026225,241.7774675042039,0
650,394.7648532112122,237.0182090961639,1
651,393.23205857216215,232.25895068812395,1
652,391.6992639331121,227.49969228008388,1
653,390.16646929406204,222.74043387204392,1
654,388.63367465501204,217.9811754640039,1
655,387.100880015962,213.2219170559639,1
656,385.56808537691194,208.4626586479239,1
657,384.0352907378619,203.70340023988393,1
658,382.5024960988119,198.94414183184392,1
659,380.96970145976184,194.1848834238039,1
660,379.4369068207118,189.4256250157639,0
661,377.90411218166173,184.6663666077239,0
662,376.3713175426117,179.9071081996839,0
663,374.8385229035616,175.1478497916439,0
664,373.30572826451163,170.3885913836039,0
665,371.7729336254616,165.6293329755639,0
666,370.2401389864115,160.8700745675239,0
667,368.70734434736147,156.1108161594839,0
668,367.1745497083114,151.3515577514439,0
669,365.6417550692614,146.59229934340388,0
670,364.10896043021137,141.8330409353639,1
671,362.5761657911613,137.07378252732389,1
672,361.04337115211126,132.31452411928387,1
673,359.5105765130612,127.55526571124389,1
674,357.97778187401116,122.79600730320388,1
675,356.44498723496116,118.03674889516388,1
676,354.9121925959111,113.27749048712388,1
677,353.37939795686106,108.51823207908387,1
678,351.846603317811,103.75897367104388,1
679,350.31380867876095,98.99971526300388,1
680,348.78101403971095,94.24045685496387,0
681,347.2482194006609,89.48119844692387,0
682,345.71542476161085,84.72194003888387,0
683,344.1826301225608,79.96268163084386,0
684,342.64983548351074,75.20342322280386,0
685,341.1170408444607,70.44416481476387,0
686,341.02730240481685,70.16553099616952,0
687,340.7688070899597,69.19994976365112,0
688,340.60800044846434,68.21338594491164,0
689,340.54648920713703,67.21569695951328,0
690,340.5848879659681,66.216851386006,1
691,340.7228130572524,65.22682935918584,1
692,340.9588863790696,64.25552285188704,1
693,341.29074916482375,63.31263683765925,1
694,341.7150855512587,62.407592321879974,1
695,342.2276557094683,61.549432210182935,1
696,342.82333820786477,60.7467309547342,1
697,343.49618118383063,60.00750888114044,1
698,344.23946181276233,59.33915205200667,1
699,345.0457534803115,58.74833846784022,1
700,345.9069999866606,58.240971342677064,0
701,346.8145960414084,57.82212012111856,0
702,347.7594732447873,57.49596982611672,0
703,348.7321906961159,57.265779243608236,0
704,349.72302932415823,57.133848361802656,0
705,350.72208899687064,57.10149539046043,0
706,351.7193874402485,57.16904358977672,0
707,352.70495997790874,57.33581804047245,0
708,353.6689590948419,57.60015238736455,0
709,354.60175283052746,57.95940548903621,0
710,355.49402101829895,58.409987807248804,1
711,356.3368484093688,58.947397272421455,1
712,357.1218137510472,59.56626426682213,1
713,357.84107392911517,60.26040527601299,1
714,358.4874423336292,61.02288467248272,1
715,359.0544606651524,61.846084014143976,1
716,359.5364634639475,62.721778165288384,1
717,359.9286347173779,63.64121747942373,1
718,360.22705597991387,64.5952152228494,1
719,360.4512309690101,65.56972057748797,1
720,360.8468455613122,67.14228760831678,0
721,362.37964020036225,71.90154601635678,0
722,363.9124348394123,76.66080442439679,0
723,365.4452294784623,81.42006283243678,0
724,366.97802411751235,86.17932124047678,0
725,368.5108187565624,90.9385796485168,0
726,370.04361339561245,95.69783805655679,0
727,371.5764080346625,100.45709646459679,0
728,373.1092026737125,105.2163548726368,0
729,374.64199731276256,109.97561328067678,0
730,376.1747919518126,114.7348716887168,1
731,377.70758659086266,119.4941300967568,1
732,379.2403812299127,124.25338850479679,1
733,380.77317586896277,129.0126469128368,1
734,382.30597050801276,133.77190532087678,1
735,383.8387651470628,138.5311637289168,1
736,385.37155978611287,143.2904221369568,1
737,386.9043544251629,148.04968054499682,1
738,388.437149064213,152.8089389530368,1
739,389.96994370326297,157.5681973610768,1
740,391.502738342313,162.32745576911682,0
741,393.0355329813631,167.0867141771568,0
742,394.56832762041313,171.84597258519682,0
743,396.1011222594632,176.60523099323683,0
744,397.63391689851323,181.3644894012768,0
745,399.16671153756323,186.1237478093168,0
746,400.6995061766133,190.8830062173568,0
747,402.23230081566334,195.64226462539682,0
748,403.7650954547134,200.40152303343683,0
749,405.2978900937634,205.16078144147684,0
750,406.83068473281344,209.9200398495168,1
751,408.3634793718635,214.6792982575568,1
752,409.89627401091354,219.43855666559682,1
753,411.4290686499636,224.19781507363683,1
754,412.96186328901365,228.95707348167684,1
755,414.49465792806365,233.71633188971686,1
756,416.0274525671137,238.4755902977568,1
757,417.56024720616375,243.23484870579688,1
758,419.0930418452138,247.99410711383683,1
759,420.62583648426386,252.75336552187684,1
760,422.1586311233139,257.51262392991686,0
761,423.6914257623639,262.27188233795687,0
762,425.22422040141396,267.0311407459969,0
763,426.757015040464,271.7903991540369,0
764,428.28980967951406,276.54965756207685,0
765,429.8226043185641,281.30891597011686,0
766,431.3553989576141,286.06817437815687,0
767,432.88819359666417,290.8274327861969,0
768,434.4209882357142,295.58669119423683,0
769,435.9537828747643,300.3459496022769,0
770,437.48657751381427,305.10520801031686,1
771,439.0193721528643,309.86446641835687,1
772,440.5521667919144,314.6237248263969,1
773,442.0849614309644,319.3829832344369,1
774,443.6177560700145,324.1422416424769,1
775,445.15055070906453,328.9015000505169,1
776,446.6833453481146,333.66075845855687,1
777,448.21613998716464,338.4200168665969,1
778,449.74893462621463,343.1792752746369,1
779,451.2817292652647,347.9385336826769,1
780,452.81452390431474,352.69779209071686,0
781,454.3473185433648,357.4570504987569,0
782,455.8801131824148,362.2163089067969,0
783,457.41290782146484,366.9755673148369,0
784,458.9457024605149,371.7348257228769,0
785,460.47849709956495,376.4940841309169,0
786,462.011291738615,381.2533425389569,0
787,463.54408637766505,386.01260094699694,0
788,465.07688101671505,390.7718593550369,0
789,466.6096756557651,395.5311177630769,0
790,468.14247029481515,400.2903761711169,1
791,469.6752649338652,405.04963457915693,1
792,471.2080595729152,409.8088929871969,1
793,472.74085421196526,414.56815139523695,1
794,474.2736488510153,419.32740980327696,1
795,475.80644349006536,424.0866682113169,1
796,477.3392381291154,428.84592661935693,1
797,478.87203276816547,433.60518502739694,1
798,480.4048274072155,438.36444343543695,1
799,481.9376220462655,443.12370184347697,1
800,483.47041668531557,447.882960251517,0
801,485.0032113243656,452.64221865955693,0
802,486.5360059634157,457.40147706759694,0
803,488.06880060246567,462.16073547563695,0
804,489.6015952415157,466.91999388367697,0
805,491.1343898805658,471.6792522917169,0
806,492.66718451961583,476.438510699757,0
807,494.1999791586659,481.19776910779694,0
808,495.73277379771594,485.95702751583696,0
809,497.265568436766,490.71628592387697,0
810,498.7021174204441,495.1767059011863,1
811,498.96061273530125,496.1422871337047,1
812,499.1527050527045,497.1235477017728,1
813,499.4234201126857,498.0857744425643,1
814,499.7888451080926,499.0161676482181,1
815,500.24532883316454,499.90543113737033,1
816,500.7883102534141,500.7446796831889,1
817,501.412364077976,501.52552779162266,1
818,502.1112549673199,502.2401734864862,1
819,502.8779998347021,502.8814762642268,1
820,503.7049376188599,503.443028439476,0
821,504.58380583080327,503.919219168523,0
822,505.5058231098737,504.3052905110109,0
823,506.46177696419704,504.5973849697039,0
824,507.4421158188573,504.79258403332426,0
825,508.4370444520756,504.88893733735244,0
826,509.43662186582856,504.8854821514249,0
827,510.4308606130143,504.78225299861725,0
